USRID	RST
8	0.013835712493494101
14	0.004707141934886193
18	0.02489506642889725
23	0.03592265050534175
30	0.039875692223848534
31	0.02122634591712471
32	0.030138519211810422
38	0.03624653325835157
40	0.004985870788017527
55	0.02684501992758275
72	0.14317172582085896
75	0.07468374288147027
79	0.004890160387058728
80	0.03378892887883502
90	0.043111029177241016
97	0.018357406921645645
98	0.01663793847298961
99	0.006192896347598055
113	0.02823575603316462
120	0.005439109032373441
121	0.025207657064047158
123	0.006722257669437581
127	0.0048258502790901525
130	0.14720348627560378
131	0.025234775795365448
134	0.04478755101388997
137	0.030758319759108147
141	0.014717586243203525
148	0.006720124541972705
149	0.04461082484280883
151	0.0047649101320242195
160	0.03091491810333246
168	0.026359678035411976
169	0.006406859264885021
177	0.023810592682064244
178	0.04684188586804925
189	0.07404320311193432
191	0.01696058876363789
195	0.1600817417776762
198	0.0046511137213158475
204	0.004967840050301065
211	0.04058438402857347
214	0.028010622509587163
219	0.02627555456485334
222	0.005498760166141498
226	0.008673093285412279
229	0.0369467264166702
230	0.007919864788043303
237	0.03127349588868291
239	0.033941596491067316
242	0.006754416125915772
245	0.020286959130764472
248	0.0050549990231520325
253	0.08491963981870723
259	0.07335174916601289
265	0.004940914874112799
276	0.1390028853320244
279	0.022390592283720902
285	0.06799429726158114
294	0.00467892824603806
314	0.27839192236456495
319	0.0577807993695615
320	0.02780558235306389
324	0.00616168044641133
325	0.1522253908931968
332	0.14869291263695794
338	0.0055417437938165715
347	0.14131183273415626
352	0.006604702935771779
353	0.04867112973857953
354	0.004628154117639549
361	0.004685880820723935
363	0.004693231809670437
369	0.11855984912834246
373	0.026874806584666084
381	0.027585083138598396
386	0.005347626263365269
391	0.021109523398002716
404	0.005208002998181419
407	0.024858167153961008
414	0.0054468290748945665
421	0.041233318209372774
425	0.028481644514751735
428	0.04518654825011168
446	0.031187293071090447
450	0.026062719476439167
451	0.005455920078715726
452	0.008065148411707
459	0.00565328627152355
470	0.044880044380153424
471	0.022446829446387526
474	0.027671362686778108
480	0.09173746933020582
487	0.028085155916903238
497	0.019061771115932005
505	0.00583357668849685
508	0.07835797098051557
510	0.0060869179636146775
513	0.041200883342774636
514	0.006554993524196999
516	0.005540240145526874
517	0.016744037040454667
522	0.03523067467158638
523	0.005586013397971768
526	0.05995281595261512
529	0.10299354911904851
532	0.06080311305759355
539	0.04213733373167298
545	0.004875609693340007
547	0.018823751298864433
553	0.005679423032358273
555	0.038441870991827005
559	0.005130087918227265
566	0.0055665679808702614
590	0.1087145888792824
597	0.004932790988713273
601	0.03943363871529688
603	0.006646567756263916
606	0.24089904284606162
616	0.004948071708773697
617	0.8602451014787408
620	0.00835396041529304
624	0.0060953661315600125
642	0.005830268341309253
644	0.010510833102831341
645	0.02625168527226688
652	0.005514168667039166
657	0.0051054934669296104
660	0.012839892410977796
666	0.00481616309726653
669	0.04895370961607444
672	0.00524288424544628
678	0.00532796471910433
687	0.00484636344137783
690	0.0057418498225041865
693	0.005347051807513205
695	0.005438504197904291
696	0.02878787672300462
699	0.07033134947024798
708	0.007404746272035538
709	0.006451986313652111
710	0.00498798961785574
723	0.043347383823784606
724	0.011754217697610236
728	0.022869563426600282
731	0.029968311154189547
738	0.03403087350707353
742	0.011645117296155628
745	0.8067799588049305
747	0.007145638333759078
751	0.08780686891882901
752	0.004997076718120947
753	0.039112109315280835
761	0.014507919367106476
766	0.031207593424563605
767	0.06618470338068101
769	0.005212322276475472
773	0.04737641598677013
775	0.005113604610747624
776	0.0248566191526854
780	0.03682820514279357
782	0.06833277283148244
794	0.02393127434948259
795	0.02394064004804625
797	0.18764010834344852
801	0.03316488682448146
802	0.009116171562338475
804	0.0790450509869447
806	0.020606450763247693
810	0.0772775142170387
812	0.004685196208642856
815	0.0053651223650807295
819	0.20400100064071053
822	0.006237684502513782
823	0.004890056015925448
831	0.007887194724312103
837	0.0058738407087503205
840	0.02015854469299781
841	0.07829182234991502
842	0.031161626005822743
843	0.06955993764029023
844	0.0050549567554967045
845	0.15411125189757777
846	0.043471555122748876
847	0.004565012438680352
852	0.04705588493651212
853	0.0049072073739927485
869	0.030554686828615035
872	0.016068135692336356
874	0.012828199970118324
889	0.028859137011116722
896	0.5888514169312121
903	0.04431060762610792
905	0.004965208136048055
909	0.004933407164065069
912	0.004915704312949436
913	0.005283572009822923
931	0.005954974558591286
937	0.02685508036958125
942	0.08293197773036179
945	0.00867436672988709
953	0.02718263037391928
957	0.005711436214000021
958	0.005686004893656593
960	0.010894622080294916
965	0.01007415153986708
968	0.004797084709633964
978	0.005699921207447778
983	0.04147980798615044
984	0.023331671963832994
987	0.025957585255081555
993	0.13183356690020728
1000	0.06594048526923775
1005	0.005058770761896071
1006	0.12705681835364616
1010	0.0339595405645544
1020	0.022407976234101543
1023	0.025072158125445415
1037	0.0077396502956535084
1043	0.103735892774831
1045	0.006052570977328672
1053	0.04392179660667331
1060	0.004447756879839959
